""	"TCGA.61.2610"	"TCGA.13.0889"	"TCGA.24.1103"	"TCGA.23.1111"	"TCGA.23.2641"	"TCGA.61.1741"	"TCGA.OY.A56P"	"TCGA.09.2049"	"TCGA.24.2267"	"TCGA.13.1487"	"TCGA.04.1646"	"TCGA.13.0920"	"TCGA.61.1914"	"TCGA.59.2354"	"TCGA.24.1843"	"TCGA.24.2289"	"TCGA.10.0930"	"TCGA.13.1481"	"TCGA.25.2391"	"TCGA.04.1331"	"TCGA.23.1114"	"TCGA.13.0916"	"TCGA.24.1846"	"TCGA.13.1504"	"TCGA.20.1687"	"TCGA.29.1688"	"TCGA.29.1693"	"TCGA.23.1110"	"TCGA.29.1768"	"TCGA.42.2588"	"TCGA.24.2035"	"TCGA.04.1362"	"TCGA.24.1552"	"TCGA.04.1356"	"TCGA.24.2024"	"TCGA.61.1915"	"TCGA.24.2261"	"TCGA.09.1675"	"TCGA.13.0805"	"TCGA.13.0717"	"TCGA.09.2053"	"TCGA.24.1474"	"TCGA.13.1510"	"TCGA.04.1361"	"TCGA.61.1737"	"TCGA.13.0795"	"TCGA.23.1123"	"TCGA.23.1118"	"TCGA.04.1369"	"TCGA.13.0791"	"TCGA.24.1562"	"TCGA.24.2260"	"TCGA.57.1992"	"TCGA.61.1910"	"TCGA.29.1691"	"TCGA.24.2298"	"TCGA.13.0794"	"TCGA.61.1913"	"TCGA.42.2591"	"TCGA.13.0887"	"TCGA.25.2398"	"TCGA.61.2095"	"TCGA.36.2547"	"TCGA.61.1899"	"TCGA.23.1021"	"TCGA.13.0804"	"TCGA.29.1769"	"TCGA.61.2016"	"TCGA.24.1435"	"TCGA.13.1495"	"TCGA.23.1027"	"TCGA.25.2392"	"TCGA.59.2352"	"TCGA.36.2545"	"TCGA.61.1738"	"TCGA.20.1682"	"TCGA.36.2532"	"TCGA.42.2593"	"TCGA.30.1714"	"TCGA.24.1927"	"TCGA.13.1494"	"TCGA.24.1469"	"TCGA.09.0365"	"TCGA.29.1699"	"TCGA.25.1319"	"TCGA.61.2104"	"TCGA.61.1740"	"TCGA.31.1959"	"TCGA.61.2087"	"TCGA.10.0931"	"TCGA.13.0923"	"TCGA.29.1764"	"TCGA.23.2645"	"TCGA.42.2590"	"TCGA.09.0364"	"TCGA.13.1483"	"TCGA.OY.A56Q"	"TCGA.29.1763"	"TCGA.04.1648"	"TCGA.04.1336"
"BRAF"	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	1
"B2M"	0	0	1	0	1	1	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	1	0	1	1	1	0	0
"USP34"	1	1	0	1	1	1	0	1	1	0	0	1	1	0	1	0	0	0	1	0	1	0	1	1	0	0	1	0	0	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	1	0	1	0	0	1	1	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
"DNAH10"	1	0	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	1	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	1	1	1	0	1	0	0	0
"SI"	0	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	1	1	1	0	1	0	0	1	1	1	1	0	0	0	1	1	0	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	1	1	0	1	0	1	0	1	1	0	0	1	0	1	0	0	0
"CEP290"	1	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	1	0	1	1	0
"MYH4"	0	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	1	1	0	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	1
"RELN"	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1	1	0	1	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0
"CDH9"	1	1	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	0	1	1	1	1	1	0	0	0	0	1	0	0	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	1	0	0	1
"PCDHB8"	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	1
"ANKRD30A"	1	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	1	0	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	1	0	0	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1
"PKHD1"	1	1	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	1	1	1	1	0	0	1	0	0	1	1	1	0	1	1	0	1	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	1	1
"XIRP2"	1	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	0	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1
"PTPRZ1"	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1	0	1	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	1	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0
"LAMA3"	1	0	0	0	0	1	0	1	1	1	0	0	1	1	0	0	1	1	1	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	0	1	0	1	1	1	1	0	1	0	0	1	0	1	0	1	1	0	1	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	1
"LAMA2"	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	0	1	0	1	0	1	1	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	1	1	0	1	1	1	1	1
"NIPBL"	0	0	1	0	1	0	1	1	1	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0	1	1	0	0	1	1	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	1	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"ANK3"	1	1	1	1	1	0	0	0	1	0	1	0	0	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0	1	1	0	1	1	1	1	1	0	1	0	0	1	0	0	0	1	0	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	0	0	1	0	0
"MYH3"	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	0	1	1	0	1	0	1	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	0	1
"SMARCA4"	0	0	1	1	0	0	1	0	0	0	0	1	0	1	1	1	1	0	1	1	0	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	1	0	0	1	1	1	1	0	0	1	0	0	0	1	1	0	0	1	1	1	0	0	1	0	1	1	1	0	1	1	0	0	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	1	1	0	1	0
"ACVR2A"	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	1	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	1	0	1	0	0
"PKHD1L1"	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	0	1	0	1	1	0	0	0
"SF3B1"	0	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	1	1	0	0	0	1	1	0	1	0	1	1	0	0	1	0	1	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	0	0	1	0	1	1	0	1	1	1
"ATM"	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1	1	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	0
