""	"TCGA.61.2610"	"TCGA.13.0889"	"TCGA.24.1103"	"TCGA.23.1111"	"TCGA.23.2641"	"TCGA.61.1741"	"TCGA.OY.A56P"	"TCGA.09.2049"	"TCGA.24.2267"	"TCGA.13.1487"	"TCGA.04.1646"	"TCGA.13.0920"	"TCGA.61.1914"	"TCGA.59.2354"	"TCGA.24.1843"	"TCGA.24.2289"	"TCGA.10.0930"	"TCGA.13.1481"	"TCGA.25.2391"	"TCGA.04.1331"	"TCGA.23.1114"	"TCGA.13.0916"	"TCGA.24.1846"	"TCGA.13.1504"	"TCGA.20.1687"	"TCGA.29.1688"	"TCGA.29.1693"	"TCGA.23.1110"	"TCGA.29.1768"	"TCGA.42.2588"	"TCGA.24.2035"	"TCGA.04.1362"	"TCGA.24.1552"	"TCGA.04.1356"	"TCGA.24.2024"	"TCGA.61.1915"	"TCGA.24.2261"	"TCGA.09.1675"	"TCGA.13.0805"	"TCGA.13.0717"	"TCGA.09.2053"	"TCGA.24.1474"	"TCGA.13.1510"	"TCGA.04.1361"	"TCGA.61.1737"	"TCGA.13.0795"	"TCGA.23.1123"	"TCGA.23.1118"	"TCGA.04.1369"	"TCGA.13.0791"	"TCGA.24.1562"	"TCGA.24.2260"	"TCGA.57.1992"	"TCGA.61.1910"	"TCGA.29.1691"	"TCGA.24.2298"	"TCGA.13.0794"	"TCGA.61.1913"	"TCGA.42.2591"	"TCGA.13.0887"	"TCGA.25.2398"	"TCGA.61.2095"	"TCGA.36.2547"	"TCGA.61.1899"	"TCGA.23.1021"	"TCGA.13.0804"	"TCGA.29.1769"	"TCGA.61.2016"	"TCGA.24.1435"	"TCGA.13.1495"	"TCGA.23.1027"	"TCGA.25.2392"	"TCGA.59.2352"	"TCGA.36.2545"	"TCGA.61.1738"	"TCGA.20.1682"	"TCGA.36.2532"	"TCGA.42.2593"	"TCGA.30.1714"	"TCGA.24.1927"	"TCGA.13.1494"	"TCGA.24.1469"	"TCGA.09.0365"	"TCGA.29.1699"	"TCGA.25.1319"	"TCGA.61.2104"	"TCGA.61.1740"	"TCGA.31.1959"	"TCGA.61.2087"	"TCGA.10.0931"	"TCGA.13.0923"	"TCGA.29.1764"	"TCGA.23.2645"	"TCGA.42.2590"	"TCGA.09.0364"	"TCGA.13.1483"	"TCGA.OY.A56Q"	"TCGA.29.1763"	"TCGA.04.1648"	"TCGA.04.1336"
"BRAF"	77.7415888566329	96.3816742752286	107.93116859807	103.531059252615	114.319798385785	89.2916845303911	90.2337856959919	100.0793379096	93.8981959436982	96.8035515204117	104.020665698054	108.562350495401	99.99863689318	117.191735370676	85.5687441776003	114.853409327474	97.5814326986779	104.443669235152	85.3448463365485	97.9463106609103	101.776366556162	93.917944318399	80.3310396982086	99.3762707394642	102.087210703917	95.6154013740295	104.333379558226	106.392577155106	100.554614776511	110.312613561805	101.239134651578	105.50515470359	90.7536711735176	102.13322321398	90.6783237991851	93.4659366073048	118.617430833282	95.8679310965558	93.3854159902954	125.713918142326	108.684842623092	108.007059344618	120.779632203002	84.3174238992073	105.66718758056	96.346368114704	100.887811692803	98.4898903839839	77.8543869244824	75.840162515983	85.819489664081	121.688229662459	113.477178616741	95.7469102365809	95.4618182659121	116.159810370688	90.5904824357878	93.0242708549345	111.829555080601	98.8332597485656	97.2129242835567	84.0061428649399	111.806467570976	104.214718877232	98.1466763699702	96.8742366861709	93.5704079441702	95.0824418955988	107.984526810043	93.4632088482929	111.65979139033	110.054525924612	110.374142118798	88.2641000415704	96.2821711241333	102.420862321374	104.160245857609	93.8131525135267	100.244494990609	100.498814847886	97.5392099096228	100.233780264916	94.4673201736134	79.7400064559267	109.179377868397	109.934094511768	94.8898650079724	98.0319206798811	87.5230956586752	102.409289390555	96.3499332932639	95.8991823695812	83.2102657817707	89.6383785411506	104.974780755076	98.6680906222388	114.696942618366	94.2309948705631	100.346060454243	86.2386992666058
"B2M"	111.548798310301	106.138372619646	97.8546390981343	109.081486199874	101.67007514723	82.0163164420093	87.1661842144077	114.601950338422	108.865107604474	94.9969352753554	98.5177130486277	102.443593954697	109.103705076978	80.7005095024002	96.411033172954	111.610796821469	105.824394139612	98.7984428974386	80.1418326340104	94.0251826940729	108.984126462433	106.93539721054	92.1952370537776	83.1715480858792	87.9807156556839	102.735385560786	97.5104407362498	104.476824089871	106.685177063502	94.6732115462822	101.247789796844	95.3511489547979	85.7626362890919	95.3998260802596	104.496175796846	102.063010623373	83.7390331956701	79.5371917402993	87.5866122941009	102.051606042802	113.804472572786	87.5368041038741	93.1639809123534	101.997587114833	102.727215694405	103.622530272383	97.7542087709163	95.2207004469204	111.096343913427	100.448715460347	86.1586032668482	106.208103762646	95.6997301176683	97.5289527553491	102.222282669253	88.9836826418851	78.2907673481139	97.7448842566135	108.644027324353	105.98025387002	109.756909681986	103.646638391686	104.645076115879	92.9192061678766	105.625586953648	86.3176050192781	98.1062749686463	93.1587042566925	100.597401506014	74.9349756876004	92.8122458320069	101.099779582154	95.2432091471971	103.847179464034	89.1166549305912	111.540036727142	99.407092958344	107.358541941588	92.720532102085	92.3319587555887	96.868068083528	99.8792120981693	93.3200531527171	97.6272072584412	112.408994690978	96.7895504416879	97.2078776305691	103.217624241967	101.650387863535	102.249540724913	93.0039411038081	112.048784764837	90.0145115883503	93.7924103242481	97.0021170256469	87.5710429917082	108.98806851366	93.0192597845821	104.229939175507	89.9323201521652
"USP34"	83.927385803338	106.592301422771	105.55646421555	101.273434216348	81.9290815690692	105.991189014061	104.690417813062	94.7843253197993	99.7114324588567	108.217589588057	114.651316995745	111.852833953255	95.1922692935055	101.17641460406	123.519741991939	102.982041604524	92.3857643370689	106.09160736118	91.9820044164023	105.183160300184	92.4034654692888	107.038587012765	89.2155524729334	104.882559836382	93.0133118474959	91.8268908087972	89.3391681728915	111.001789146764	103.539792001624	91.959255063098	90.5797135916458	78.3137942125954	105.11331799967	98.9084558937546	122.575678804274	106.413987978626	83.3679245124608	93.1780064577797	103.590690719796	118.471730272369	111.759644675896	118.685547574398	94.4833877734375	108.440929830906	115.562717743976	90.4314572826071	82.92117836497	94.8892280635552	99.8202634903204	90.7044278266513	105.738722821684	108.508677107887	113.190584244047	95.6617528352188	90.5949699220624	89.4384018153211	102.096647444468	87.7109987153399	88.8593726208229	92.3387703075752	95.9002888405483	114.556869403821	102.92501038352	108.899180657342	106.649508831781	112.494311735299	109.646929342392	103.518095261851	84.862364882744	91.0684334540929	102.224986464597	80.9288335494121	109.368141881213	81.8046066260391	109.579045987307	96.4276867103053	85.8237319205784	103.639852793461	113.407749125598	115.523638822943	105.32438853048	107.605946328733	100.630284723271	105.858250634369	116.988956138108	108.048068252957	111.208485937239	81.2143264413292	103.168032958536	113.902235918261	115.974115897305	100.898294806231	95.1811868053023	98.9470345240361	103.184538577741	80.7905897267612	98.4799356478314	98.9185384143522	98.1123500164765	99.8713494066928
"DNAH10"	98.8216221498212	98.3229844712196	100.500350546137	88.5434412500009	95.6490273806417	110.86919782665	112.841337714576	96.601079965094	97.3776426079935	110.065573952076	72.8081467034929	86.4715683975518	122.214172128186	81.4555843024181	93.8889706040849	88.1088827871272	103.770050011572	120.022614878682	95.7651448844706	103.065145843373	95.703804664904	103.223525482909	110.285378302173	90.1947533930401	100.360105925029	109.760873158945	86.8152432355628	123.112003306845	107.717536939698	90.2634180065728	90.2407865592277	92.3377443505251	87.3055377969056	102.81338469729	107.201895266346	113.914631398587	83.1112261638578	96.2117253968574	99.8894587485609	96.480568198804	103.190408445378	86.8846286383171	101.423256047382	110.320305271321	92.9251802749008	119.851519240738	90.1100729630942	121.242136652993	115.964814658277	88.4539252939551	107.731968480833	107.73484962284	101.468941123872	93.5553711461687	106.495699876282	110.504642640365	91.1191931075872	95.8800308194541	111.154070399513	116.692013245834	71.7567756613644	116.322064938565	95.7361067313679	107.810518934023	98.8462756881249	97.1400448175209	112.995435688457	123.507242103721	90.5484216388425	98.7245032481033	102.83567298063	104.675491381126	90.9200344343708	94.1744283138624	73.0769802838629	79.2986482971732	101.654272262152	85.7020522518345	92.4606284955947	85.1520279774023	78.6672612446232	93.0660253805136	90.5421318915621	95.2212104526765	93.6495450064636	86.8961888092019	100.647380671773	88.9968358714366	95.1910323105686	110.816197035565	101.396263395979	102.466412579037	103.418739042675	116.139565186811	109.612716016103	112.901683917408	99.4182946859918	91.8788800368604	82.6554779409833	95.6729288982412
"SI"	90.9715105632814	101.940496476957	101.85308841443	90.4357394871172	82.4715095772582	110.755624708776	92.311561493387	126.605014696625	93.2822638615959	99.5708127083185	117.610559191139	96.9738071240872	92.8270729157508	98.5088261788712	82.7891490065308	108.753459841784	101.662707975024	119.730525375973	102.495191111659	92.6007188875622	84.1032397700155	92.4153116462265	100.711318652572	103.330726263508	93.4803844827465	97.7786529283177	104.82494575564	101.020344989348	105.662188591893	83.5769526528232	96.2129694851154	104.301128715599	102.616988064611	101.628707742879	99.9683663522046	107.261611504716	105.782632163299	94.974555699037	103.380608938333	103.15607521427	87.3350319471507	107.574082883961	98.7204881733369	103.942244351826	104.930514167055	106.483625564096	108.429537804575	107.65944785778	95.9829422911471	102.12795815586	90.3985382896964	105.668163409022	86.157816390815	83.8708223356642	99.1910641857575	99.808847986128	100.099870929782	118.906558927465	90.4450848099115	110.954009669385	75.7919238076677	89.7161985530981	128.836872801554	97.1909857752458	103.511378941887	108.785468890133	86.4080404359151	99.2755688105486	101.364531104325	100.569490269631	96.9399031107263	105.161732208321	101.671159373957	97.9161130645852	91.5999473449546	105.85535585093	98.854842156279	96.535900902318	104.490098561071	88.9448033133698	109.019235680864	100.007821555533	107.00756125594	89.9973643598943	81.9996549078446	118.409464457541	91.6113150777242	107.983708027967	103.953345689915	83.6832762170947	89.3048254786632	97.0835920409392	96.7211082342478	116.125834472459	98.2905899713038	128.241417967805	86.2948265441896	97.8811692924809	118.436684129244	101.333458993207
"CEP290"	103.958705204613	106.466044689976	109.942452093341	99.1985040818166	102.824400116581	103.421535127079	107.815386110799	85.5770917569376	99.4447969585194	83.7572426791678	99.1414843553779	104.482753260478	94.664958073779	103.21367882798	116.28216110099	92.5456132816156	86.4473843125768	75.7655864258864	94.4495149547388	104.962105368469	84.2975859693601	96.0507324068565	73.2898553477915	92.0536013945413	94.0934114875437	102.529028658207	89.3965657111106	91.49065819698	85.7957707136445	86.0620786741452	122.672547057805	110.71527174484	81.473558695031	109.049498756235	102.197256503568	84.7150791589163	84.0985404256499	113.385225048419	102.361121753111	112.241333342131	96.4063145804787	92.3655730954702	106.481046379749	105.186450496142	88.2239711551485	104.772396137001	94.1519955142757	96.1332193115513	110.624159749699	109.353023149383	108.532544604959	109.649694127159	84.2001571036512	100.373808379798	113.356815146775	82.7004530235276	92.8236312294002	93.5154788695313	113.517969845467	108.758517866706	93.0650114660683	106.597087831453	115.869657981103	107.993601515873	83.7086752709532	83.6359190529287	108.946517720083	111.434221879413	81.3818498284446	99.3254721870994	96.4684107899806	85.9678000941799	124.246979883961	120.963421976346	112.967995270551	108.186733608033	97.3972407875422	90.2760832234752	86.3534513098353	111.285682435798	104.953309998002	102.640552146786	91.3085090917819	116.112535659113	98.9280096323343	88.198511344221	103.369805341604	94.7462429853535	96.7785749493744	94.2006751671437	107.385163777723	99.7119027235193	100.306003905402	95.4204553876142	123.16009889269	108.58576947104	105.905529948038	98.8905899394583	98.832348666662	90.635189552404
"MYH4"	106.217621787041	109.127288014676	103.760521126534	102.536419278363	93.4222965598796	113.747495195451	73.3851906422619	106.618197462638	91.4341818276692	105.229088842205	96.4647763640685	99.9205696998721	119.051978724216	83.2549741421979	106.614650227392	99.3534350365126	100.760836629011	93.6931402929511	107.180088949681	109.71051806908	117.745481241262	82.9181181588391	101.346177602853	105.183653860259	109.362558964847	106.489327941681	106.570130634694	107.665466598149	88.0449216591077	100.254877791361	98.7815987228638	88.2028236036737	120.628131754576	93.0067371298826	96.2721265852998	107.343004151167	98.8931726699808	100.054307107339	98.8607229772039	102.976427015163	87.1009935127845	87.1901170190069	98.5673629204099	99.5804613551315	113.123535853761	99.2914361069499	104.58767817792	95.6063920649244	92.6084514831032	99.7462179852913	104.778630180993	98.4625944296088	105.750555242198	86.9641329372108	93.7430021280905	88.4484513465209	100.779690596782	104.634986413407	97.9996532356553	104.84446250663	90.9537731659921	111.508054814066	129.504657943871	104.147790859956	96.0120021021769	86.1154724867349	109.360294851442	106.331874485012	96.5311375174249	102.47074867596	98.8588163687657	102.508816060595	111.1565970004	82.0296417127767	107.948362489316	104.684194016493	109.317923687508	116.421235885571	112.919001021507	79.4189631600234	90.2917076726569	104.888503437995	88.1611035398893	96.2129573736086	94.889955132507	99.1231460374332	89.459621940439	92.1325106180344	95.2637465116728	101.653959777601	89.4532205979741	109.34188638178	93.6571554675258	84.174665307407	105.770983405275	99.8848095272724	106.970545346915	96.0567344800975	91.2992895591169	91.5078844091302
"RELN"	93.4089455527076	79.7753903540248	88.7230518025654	110.999448620462	89.5414371696675	111.589848806531	112.573862481652	103.863179783331	91.7990117886942	94.4634194890181	88.4868452495232	97.1408490930118	97.0494160386696	108.193854419176	110.91146306806	103.180447546796	113.861227814197	93.4251994271315	89.6810138098454	108.570212162727	96.1763165231696	98.7822387519263	102.082023024062	106.794768341908	99.5235204738876	94.9816777254622	105.789727556128	102.711550170179	84.0393287610241	106.28568878324	111.331488310364	107.687116561376	92.2823159190234	103.752140989399	107.00075971376	98.0797882739162	111.413063776641	102.425417377293	107.86257782837	102.711753671869	100.313420042322	83.0415377174081	114.289505715926	96.7902927000598	89.7192031646467	100.285273455737	103.735924573552	90.3083988287557	104.90748996557	87.6433226149879	117.061338891559	105.523503509405	83.5248441027691	98.3997506430319	104.960294089282	85.9266654988865	103.279179406789	90.8209988946477	97.2557925546999	104.832451993384	106.165064009642	112.150051355416	95.0261387525777	116.105996763883	98.551593895113	109.573013941533	101.950893520916	111.674442295177	103.567243891289	97.7416177745449	123.580775629834	120.812636315676	105.512419165564	82.3117168659368	92.2826092553027	102.143614109523	100.504889125693	76.2473550174521	90.7847032402368	93.2190806604701	88.8082327202784	111.797275112886	99.7249814982365	100.304855260322	88.6212495786004	116.830504383952	109.542880998905	87.0490782673076	106.494819294869	107.01130898686	97.6783598830297	116.463873870228	99.8723899545379	100.676328117469	106.398086256892	109.100911352497	93.7694168330562	98.0059191406289	91.7836496521719	90.5599787779336
"CDH9"	108.968769854246	93.6892795231203	113.81516890552	113.74391679947	96.1375057505003	98.8927323156838	93.3317466819821	95.5373842540478	92.2741896572231	103.298479191766	119.115939845836	103.013124829305	92.6939585052568	96.7124811489778	104.862462719721	79.5728224291457	106.312262939293	108.418794807844	108.340201684988	96.8431913847603	96.6210687821347	96.0640121285991	99.0341111971397	96.2599116843033	102.304348837604	96.8827579772686	97.1180386713812	100.916110299507	101.910606941719	96.1660074506813	96.5583782658191	104.974630095708	78.3412780720567	99.8715762041929	73.4029339974673	100.74838808986	89.3843084801925	100.034891685742	91.3809372662012	86.7788604899026	103.729002920015	98.4618594395092	97.9433845739218	110.552833658028	112.956374564503	105.454918015091	114.984395522198	91.8189035285997	97.993664366338	108.394268640779	101.591413899032	86.6915705955057	100.725162041377	118.458767863792	118.916902816653	88.5629903055204	115.537413006949	96.7624787674664	95.8626426570896	96.9824861323025	92.9289275198707	108.616152374774	94.8553811777416	103.818214545624	92.1467871136033	109.079356822609	88.7934354483637	102.943789226372	101.378968083984	96.4445058153676	78.120279093131	92.0839888273713	79.7138606954897	97.2821965848166	87.799580245745	108.778326466417	109.419256984313	97.3761389014971	106.755613494829	112.15228996747	86.1329197676178	103.921188506221	112.297985987544	107.873088714082	85.5264765453973	98.516577624379	118.422073052693	79.6310817177619	105.827261221615	108.665694547339	109.855699472322	109.124043566642	96.6855719424982	97.2946992337449	98.1689583130117	113.824441248307	99.9688752740949	109.281473566791	102.75028790055	86.2575338087545
"PCDHB8"	95.4543885585699	101.537350698833	102.27602123719	86.9817184421353	97.7228828851896	84.4481642084165	90.1119777172418	98.2936536635349	92.9214463940216	89.3551854073313	83.7095826831957	96.362952726129	101.09031304348	92.9905476804987	103.769067398831	120.371993721054	100.397840285804	94.371715632503	93.3874059164155	96.5740259489561	113.628432360639	97.0736488644718	102.900856723165	111.494125437977	112.079347809963	103.318597832651	86.8376393536013	122.029717813086	94.0313094653865	114.90119950738	101.813793221817	89.8557628597026	104.961415365978	107.687477953242	86.7641533359585	99.6317474795725	94.9909036679052	97.567069096124	104.207722735055	104.947484636017	91.063705665941	96.4156838432224	92.1226371007194	94.7304512797581	90.8809061051535	105.278094370341	106.573505391222	96.6733444413717	115.684025111738	93.7771867847913	87.4687242062791	110.910812204952	81.6304914328061	78.9170519884069	94.2197840964911	105.287951564979	92.6872072100508	96.4502740593061	99.0261185142728	93.4598384736115	102.052876060808	95.0122477699471	96.0524243462559	92.3537363986665	85.7071061465498	107.425836295994	86.1380571009897	90.7747536829765	108.140972927597	96.4087155120637	105.782026599452	100.96867077787	95.8483712838107	100.184361989194	81.8150983647467	115.827562613979	105.975566526719	96.640370825477	97.0542107832481	93.922530129481	96.2549015295109	87.0150907780084	93.9739437603691	110.445281609249	97.5191323096377	98.4098867235248	76.599251782567	98.0875620403931	86.2658029989491	98.7379453686757	83.3068749506106	109.458041881023	100.725183349787	105.809596306101	96.5920694989576	112.719902910025	102.149206074059	108.442768608081	107.175919349838	92.5005019184895
