Sample_ID	Category
CALU3_LUNG	Great
HCC2279_LUNG	Great
HCC4006_LUNG	Great
HCC44_LUNG	Great
HCC827_LUNG	Great
LXF289_LUNG	Great
NCIH1373_LUNG	Great
NCIH1437_LUNG	Great
NCIH1623_LUNG	Great
NCIH1651_LUNG	Great
NCIH1693_LUNG	Great
NCIH1792_LUNG	Great
NCIH2009_LUNG	Great
NCIH2023_LUNG	Great
NCIH2073_LUNG	Great
NCIH2087_LUNG	Great
NCIH2122_LUNG	Great
NCIH2126_LUNG	Great
NCIH2228_LUNG	Great
NCIH2291_LUNG	Great
NCIH2342_LUNG	Great
NCIH2347_LUNG	Great
NCIH3255_LUNG	Great
NCIH441_LUNG	Great
NCIH854_LUNG	Great
RERFLCAD1_LUNG	Great
SKLU1_LUNG	Great
VMRCLCD_LUNG	Great
HCC78_LUNG	Good
NCIH1355_LUNG	Good
NCIH1563_LUNG	Good
NCIH1573_LUNG	Good
NCIH1648_LUNG	Good
NCIH1734_LUNG	Good
NCIH1755_LUNG	Good
NCIH2405_LUNG	Good
RERFLCAD2_LUNG	Good
DV90_LUNG	Moderately Good
MORCPR_LUNG	Moderately Good
NCIH1703_LUNG	Moderately Good
HS229T_LUNG	Outlier
HS618T_LUNG	Outlier
