Gene 	 CNA_Weight 
ECM1 	 0.07692308 
ENSA 	 0.07692308 
MCL1 	 0.07692308 
PRPF3 	 0.07692308 
RPRD2 	 0.07692308 
MRPS21 	 0.07692308 
ADAMTSL4 	 0.07692308 
GOLPH3L 	 0.07692308 
TARS2 	 0.07692308 
ADAMTSL4-AS1 	 0.07692308 
MIR4257 	 0.07692308 
LINC00568 	 0.07692308 
MIR6878 	 0.07692308 
PRPH2 	 0.2 
TBCC 	 0.2 
UBR2 	 0.2 
GLTSCR1L 	 0.2 
ATP6V0CP3 	 0.2 
CCAT2 	 1 
FGFR1 	 0.3333333 
WHSC1L1 	 0.3333333 
LETM2 	 0.3333333 
ANK1 	 0.25 
NKX6-3 	 0.25 
MIR486 	 0.25 
MIR486-2 	 0.25 
CACNA1B 	 0.3333333 
TUBBP5 	 0.3333333 
FAM157B 	 0.3333333 
ANXA11 	 0.05555556 
SFTPD 	 0.05555556 
MBL1P 	 0.05555556 
PPIF 	 0.05555556 
ZMIZ1 	 0.05555556 
TMEM254 	 0.05555556 
EIF5AL1 	 0.05555556 
TMEM254-AS1 	 0.05555556 
PLAC9 	 0.05555556 
ZCCHC24 	 0.05555556 
ZMIZ1-AS1 	 0.05555556 
LINC00857 	 0.05555556 
LOC642361 	 0.05555556 
BEND3P3 	 0.05555556 
SFTPA1 	 0.05555556 
SFTPA2 	 0.05555556 
NUTM2B 	 0.05555556 
LOC100288974 	 0.05555556 
INS 	 0.25 
TH 	 0.25 
INS-IGF2 	 0.25 
MIR4686 	 0.25 
KRAS 	 1 
CDX2 	 0.1666667 
FLT3 	 0.1666667 
PDX1 	 0.1666667 
ATP5EP2 	 0.1666667 
URAD 	 0.1666667 
PDX1-AS1 	 0.1666667 
KLF5 	 1 
ERBB2 	 0.5 
PGAP3 	 0.5 
OSBPL1A 	 1 
hsa-mir-1825 	 0.125 
HCK 	 0.125 
PLAGL2 	 0.125 
KIF3B 	 0.125 
TM9SF4 	 0.125 
POFUT1 	 0.125 
TSPY26P 	 0.125 
ASXL1 	 0.125 
MACROD2 	 0.5 
MACROD2-AS1 	 0.5 
FANCB 	 0.08333333 
GLRA2 	 0.08333333 
GPM6B 	 0.08333333 
TRAPPC2 	 0.08333333 
OFD1 	 0.08333333 
RAB9A 	 0.08333333 
EGFL6 	 0.08333333 
GEMIN8 	 0.08333333 
MOSPD2 	 0.08333333 
TCEANC 	 0.08333333 
UBE2E4P 	 0.08333333 
MIR6086 	 0.08333333 
KAZN 	 1 
BEND5 	 0.3333333 
AGBL4 	 0.3333333 
AGBL4-IT1 	 0.3333333 
