Gene	Weight
A1BG	0.383934358474197
A1CF	0.497301433397406
A2BP1	0.0137106807456595
A2LD1	0.0873726646796145
A2M	0.16857553762473
A2ML1	0.306011729542949
A4GALT	0.0457176792251246
A4GNT	0.204092671732609
AAA1	0.102570693761195
AAAS	0.0412887742065689
AACS	0.000949997731371794
AACSL	0.100070916707594
AADAC	0.196406283395809
AADACL2	0.156957435130697
AADACL3	0.0975582438197679
AADACL4	0.0175064403994659
AADAT	0.0911842554176012
AAGAB	0.02260989342129
AAK1	0.0136227546600658
AAMP	0.0322247023206754
AANAT	0.0585906541032546
AARS	0.00501258492170547
AARS2	0.024085684152646
AARSD1	0.0221001777736504
AASDH	0.00757495783038467
AASDHPPT	0.0215048412268919
AASS	0.131572025340177
AATF	0.0259414501452913
AATK	0.0723319049543762
ABAT	0.155688262200862
ABCA10	0.196141159289001
ABCA1	0.0305884218812815
ABCA11P	0.00983679006609961
ABCA12	0.190741706897578
ABCA13	0.0514031443221526
ABCA17P	0.129076843594176
ABCA2	0.0237608093730946
ABCA3	0.146597149703678
ABCA4	0.0308399095095624
ABCA5	0.120663710571384
ABCA6	0.227762071190773
ABCA7	0.0503692193102818
ABCA8	0.281599419880433
ABCA9	0.202598408376291
ABCB10	0.000820417318741286
ABCB11	0.354957561788874
ABCB1	0.308240255052572
ABCB4	0.321954520056096
ABCB5	0.124438014501914
ABCB6	0.0172046749793822
ABCB7	0.00584464366037417
ABCB8	0.00644222351915073
ABCB9	0.062576892807286
ABCC10	0.031281754988552
ABCC11	0.276021133885437
ABCC12	0.0605038728078613
ABCC13	0.216683047920171
ABCC1	0.0136999934574753
ABCC2	0.344073602787945
ABCC3	0.134997420961213
ABCC4	0.0213421039701046
ABCC5	0.0213292430111529
ABCC6	0.263100664911711
ABCC6P1	0.186526067136416
ABCC6P2	0.0954832620274169
ABCC8	0.237830872911814
ABCC9	0.115808614348313
ABCD1	0.0194171566927395
ABCD2	0.217095667245663
ABCD3	0.0710459354439742
ABCD4	0.00227781791925671
ABCE1	0.0189277669262083
ABCF1	0.0306954465418695
ABCF2	0.0458294764614882
ABCF3	0.0315883885544699
ABCG1	0.038817513170528
ABCG2	0.19346224094662
ABCG4	0.0803247661776274
ABCG5	0.274868758732308
ABCG8	0.26265832688496
ABHD10	0.0135459648034635
ABHD11	0.110133350899604
ABHD12	0.00444515666075279
ABHD12B	0.023146682671139
ABHD13	0.024078593393341
ABHD14A	0.020542848701367
ABHD14B	0.0436684230484563
ABHD15	0.0742938612154406
ABHD1	0.0228879352229306
ABHD2	0.115604341804837
ABHD3	0.0641208233950133
ABHD4	0.000848846146606275
ABHD5	0.054773593007997
ABHD6	0.131897148923135
ABHD8	0.0403618819455034
ABI1	0.0162141870597922
ABI2	0.0178865007300817
ABI3	0.0338352130153526
ABI3BP	0.166068835375456
ABL1	0.0341099942970487
ABL2	0.0279228365426778
ABLIM1	0.0277272774570637
ABLIM2	0.0721492783134642
ABLIM3	0.248102687948663
ABO	0.0882457364039743
ABP1	0.138987139208066
ABR	0.0934942065364602
ABRA	0.285355014262357
ABT1	0.0483806290539214
ABTB1	0.00274437356932971
ABTB2	0.0618060799695646
ACAA1	0.107387948667432
ACAA2	0.11766350217382
ACACA	0.0402246175297771
ACACB	0.176937459211243
ACAD10	0.0196660111846952
ACAD11	0.0820571046176682
ACAD8	0.0238090693547589
ACAD9	0.0266593261599641
ACADL	0.342777148336507
ACADM	0.0641549824642971
ACADS	0.15590689876757
ACADSB	0.179600672827149
ACADVL	0.0534712809737514
ACAN	0.00859308908489002
ACAP1	0.0592596347071159
ACAP2	0.00596121926487445
ACAP3	0.0187150682593771
ACAT1	0.13459856232551
ACAT2	0.0328856170663099
ACBD3	0.0149562441888237
ACBD4	0.0567879534411741
ACBD5	0.0601156318756723
ACBD6	0.0472616587741788
ACBD7	0.17384366173898
ACCN1	0.0243532126097324
ACCN2	0.0025039301067221
ACCN3	0.0851760096169545
ACCN4	0.0124240206197599
ACCN5	0.010721945728619
ACCS	0.00932210152010039
ACCSL	0.00687733387052493
ACD	0.00137478589671664
ACE	0.111645187612628
ACE2	0.281756748482497
ACER1	0.246232209860504
ACER2	0.0567471854074299
ACER3	0.0254247355178556
ACHE	0.146950599463634
ACIN1	0.0230697484037757
ACLY	0.021526033301046
ACMSD	0.544239320715391
ACN9	0.062809000845948
ACO1	0.112489091810955
ACO2	0.0452042557425684
ACOT11	0.0845712127620399
ACOT12	0.460749126141715
ACOT13	0.0235534672229448
ACOT1	0.108529210299587
ACOT2	0.0597007789093002
ACOT4	0.0285360788263681
ACOT6	0.0513156346601789
ACOT7	0.0140894760541077
ACOT8	0.0337957098348166
ACOT9	0.00717598214944062
ACOX1	0.0731751189643315
ACOX2	0.159061188224501
ACOX3	0.0687154437982642
ACOXL	0.100161493992938
ACP1	0.0551796719873089
