Model_name	TCGA_Type	CCLE_cBioPortal
1205Lu	SKCM	NA
201T	LUAD	NA
22RV1	PRAD	22RV1_PROSTATE
23132-87	STAD	2313287_STOMACH
42-MG-BA	GBM	42MGBA_CENTRAL_NERVOUS_SYSTEM
451Lu	SKCM	NA
5637	BLCA	5637_URINARY_TRACT
639-V	BLCA	639V_URINARY_TRACT
647-V	BLCA	647V_URINARY_TRACT
769-P	KIRC	769P_KIDNEY
786-0	KIRC	NA
8305C	THCA	8305C_THYROID
8505C	THCA	8505C_THYROID
8-MG-BA	GBM	8MGBA_CENTRAL_NERVOUS_SYSTEM
A101D	SKCM	A101D_SKIN
A172	GBM	A172_CENTRAL_NERVOUS_SYSTEM
A2058	SKCM	A2058_SKIN
A253	HNSC	A253_SALIVARY_GLAND
A2780	OV	A2780_OVARY
A2780ADR	OV	NA
A2780cis	OV	NA
A375	SKCM	A375_SKIN
A3-KAW	DLBC	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
A427	LUAD	NA
A498	KIRC	A498_KIDNEY
A549	LUAD	A549_LUNG
A704	KIRC	A704_KIDNEY
ABC-1	LUAD	ABC1_LUNG
ACCS	BLCA	NA
ACHN	KIRC	ACHN_KIDNEY
AGS	STAD	AGS_STOMACH
AM-38	GBM	AM38_CENTRAL_NERVOUS_SYSTEM
AN3-CA	UCEC	AN3CA_ENDOMETRIUM
ASH-3	THCA	NA
AsPC-1	PAAD	ASPC1_PANCREAS
AU565	BRCA	AU565_BREAST
B2-17	LGG	NA
BB30-HNC	HNSC	NA
BB49-HNC	HNSC	NA
BB65-RCC	KIRC	NA
BC-1	DLBC	NA
BC-3	DLBC	NA
BCPAP	THCA	BCPAP_THYROID
Becker	LGG	BECKER_CENTRAL_NERVOUS_SYSTEM
BFTC-905	BLCA	BFTC905_URINARY_TRACT
BFTC-909	KIRC	BFTC909_KIDNEY
BHT-101	THCA	BHT101_THYROID
BOKU	CESC	NA
BT-20	BRCA	BT20_BREAST
BT-474	BRCA	BT474_BREAST
BT-483	BRCA	BT483_BREAST
BT-549	BRCA	BT549_BREAST
BxPC-3	PAAD	BXPC3_PANCREAS
C2BBe1	COAD	C2BBE1_LARGE_INTESTINE
C32	SKCM	C32_SKIN
C-33-A	CESC	NA
C3A	LIHC	C3A_LIVER
C-4-I	CESC	NA
C-4-II	CESC	NA
Ca9-22	HNSC	NA
Caco-2	COAD	NA
CAKI-1	KIRC	CAKI1_KIDNEY
CAL-120	BRCA	CAL120_BREAST
CAL-148	BRCA	CAL148_BREAST
CAL-29	BLCA	CAL29_URINARY_TRACT
CAL-51	BRCA	CAL51_BREAST
CAL-54	KIRC	CAL54_KIDNEY
CAL-62	THCA	CAL62_THYROID
CAL-85-1	BRCA	CAL851_BREAST
Calu-3	LUAD	CALU3_LUNG
CAMA-1	BRCA	CAMA1_BREAST
Caov-3	OV	CAOV3_OVARY
Caov-4	OV	CAOV4_OVARY
CAPAN-1	PAAD	CAPAN1_PANCREAS
Capan-2	PAAD	CAPAN2_PANCREAS
CaR-1	READ	NA
CAS-1	GBM	CAS1_CENTRAL_NERVOUS_SYSTEM
Ca-Ski	CESC	NA
CCF-STTG1	LGG	CCFSTTG1_CENTRAL_NERVOUS_SYSTEM
CCK-81	COAD	CCK81_LARGE_INTESTINE
CESS	LAML	NA
CFPAC-1	PAAD	CFPAC1_PANCREAS
CGTH-W-1	THCA	CGTHW1_THYROID
CHL-1	SKCM	CHL1_SKIN
CL-11	COAD	CL11_LARGE_INTESTINE
CL-34	COAD	CL34_LARGE_INTESTINE
CL-40	COAD	CL40_LARGE_INTESTINE
CMK	LAML	CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
CMK11-5	LAML	CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
COLO-201	COAD	NA
COLO-205	COAD	COLO205_LARGE_INTESTINE
COLO-206F	COAD	NA
COLO-320	COAD	COLO320_LARGE_INTESTINE
COLO-320-HSR	COAD	NA
COLO-678	COAD	COLO678_LARGE_INTESTINE
COLO-679	SKCM	COLO679_SKIN
COLO-680N	ESCA	COLO680N_OESOPHAGUS
COLO-684	UCEC	COLO684_ENDOMETRIUM
COLO-685	UCEC	NA
COLO-783	SKCM	COLO783_SKIN
COLO-792	SKCM	COLO792_SKIN
COLO-794	SKCM	NA
COLO-800	SKCM	COLO800_SKIN
COLO-818	SKCM	COLO818_SKIN
COLO-824	BRCA	NA
COLO-829	SKCM	COLO829_SKIN
COR-L105	LUAD	CORL105_LUNG
COR-L32	LUSC	NA
CP50-MEL-B	SKCM	NA
CP66-MEL	SKCM	NA
CP67-MEL	SKCM	NA
CRO-AP2	DLBC	NA
CRO-AP3	DLBC	NA
CTB-1	DLBC	NA
CW-2	COAD	CW2_LARGE_INTESTINE
D-245MG	GBM	NA
D-263MG	GBM	NA
D-336MG	GBM	NA
D-392MG	GBM	NA
D-423MG	GBM	NA
D-502MG	GBM	NA
D-542MG	GBM	NA
D-566MG	GBM	NA
DAN-G	PAAD	DANG_PANCREAS
DB	DLBC	DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
DBTRG-05MG	GBM	DBTRG05MG_CENTRAL_NERVOUS_SYSTEM
Detroit562	HNSC	DETROIT562_UPPER_AERODIGESTIVE_TRACT
DK-MG	GBM	DKMG_CENTRAL_NERVOUS_SYSTEM
DLD-1	COAD	DLD1_LARGE_INTESTINE
DOHH-2	DLBC	DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
DoTc2-4510	CESC	NA
DOV13	OV	NA
DSH1	BLCA	NA
DU-145	PRAD	DU145_PROSTATE
DU-4475	BRCA	DU4475_BREAST
EBC-1	LUSC	EBC1_LUNG
ECC10	STAD	ECC10_STOMACH
ECC12	STAD	ECC12_STOMACH
ECC4	READ	NA
EC-GI-10	ESCA	ECGI10_OESOPHAGUS
EFM-19	BRCA	EFM19_BREAST
EFM-192A	BRCA	EFM192A_BREAST
EFM-192B	BRCA	NA
EFM-192C	BRCA	NA
EFO-21	OV	EFO21_OVARY
EFO-27	OV	EFO27_OVARY
EGI-1	CHOL	NA
EN	UCEC	EN_ENDOMETRIUM
EoL-1-cell	LAML	NA
ES-2	OV	ES2_OVARY
ETK-1	CHOL	NA
EVSA-T	BRCA	NA
FADU	HNSC	FADU_UPPER_AERODIGESTIVE_TRACT
Farage	DLBC	NA
FTC-133	THCA	FTC133_THYROID
FTC-236	THCA	NA
FTC-238	THCA	NA
FU97	STAD	FU97_STOMACH
FU-OV-1	OV	FUOV1_OVARY
G-361	SKCM	G361_SKIN
GAK	SKCM	NA
GAMG	GBM	GAMG_CENTRAL_NERVOUS_SYSTEM
GB-1	GBM	GB1_CENTRAL_NERVOUS_SYSTEM
GCIY	STAD	GCIY_STOMACH
GDM-1	LAML	GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
Geo	COAD	NA
G-MEL	SKCM	NA
GMS-10	GBM	GMS10_CENTRAL_NERVOUS_SYSTEM
GP2d	COAD	GP2D_LARGE_INTESTINE
GP5d	COAD	NA
GRANTA-519	DLBC	GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
GR-M	PAAD	NA
GT3TKB	LUSC	NA
H3255	LUAD	NA
H4	LGG	H4_CENTRAL_NERVOUS_SYSTEM
HA7-RCC	KIRC	NA
HARA	LUSC	HARA_LUNG
HCC1143	BRCA	HCC1143_BREAST
HCC1187	BRCA	HCC1187_BREAST
HCC1395	BRCA	HCC1395_BREAST
HCC1419	BRCA	HCC1419_BREAST
HCC1428	BRCA	HCC1428_BREAST
HCC-15	LUSC	HCC15_LUNG
HCC1500	BRCA	HCC1500_BREAST
HCC1569	BRCA	HCC1569_BREAST
HCC1599	BRCA	HCC1599_BREAST
HCC1806	BRCA	HCC1806_BREAST
HCC1937	BRCA	HCC1937_BREAST
HCC1954	BRCA	HCC1954_BREAST
HCC202	BRCA	HCC202_BREAST
HCC2157	BRCA	HCC2157_BREAST
HCC2218	BRCA	HCC2218_BREAST
HCC2998	COAD	NA
HCC38	BRCA	HCC38_BREAST
HCC-44	LUAD	HCC44_LUNG
HCC-56	COAD	HCC56_LARGE_INTESTINE
HCC70	BRCA	HCC70_BREAST
HCC-78	LUAD	HCC78_LUNG
HCC-827	LUAD	HCC827_LUNG
HCE-4	ESCA	NA
HCE-7	ESCA	NA
HCMB	SKCM	NA
HCT-116	COAD	HCT116_LARGE_INTESTINE
HCT-15	COAD	HCT15_LARGE_INTESTINE
HCT-8	COAD	NA
HDQ-P1	BRCA	HDQP1_BREAST
HEC-1	UCEC	NA
HEC-1-A	UCEC	HEC1A_ENDOMETRIUM
HEC-1-B	UCEC	HEC1B_ENDOMETRIUM
HEL	LAML	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HEL-92-1-7	LAML	HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HeLa	CESC	NA
HeLaSF	CESC	NA
HEp-2	CESC	NA
Hep3B2-1-7	LIHC	HEP3B217_LIVER
Hep-G2	LIHC	HEPG2_LIVER
Hey	OV	NA
Hey-A8	OV	HEYA8_OVARY
Hey-C2	OV	NA
HGC-27	STAD	HGC27_STOMACH
HL-60	LAML	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HLE	LIHC	HLE_LIVER
HLF	LIHC	HLF_LIVER
HMV-II	SKCM	NA
HOP-62	LUAD	NA
HPAC	PAAD	HPAC_PANCREAS
HPAF-II	PAAD	HPAFII_PANCREAS
HRT-18	COAD	NA
Hs-294-T	SKCM	HS294T_SKIN
Hs-578-T	BRCA	HS578T_BREAST
Hs-683	LGG	HS683_CENTRAL_NERVOUS_SYSTEM
Hs746T	STAD	HS746T_STOMACH
Hs-766T	PAAD	HS766T_PANCREAS
Hs-939-T	SKCM	HS939T_SKIN
Hs-940-T	SKCM	HS940T_SKIN
Hs-944-T	SKCM	HS944T_SKIN
HSC-39	STAD	NA
HT	DLBC	HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HT-115	COAD	HT115_LARGE_INTESTINE
HT-1197	BLCA	HT1197_URINARY_TRACT
HT-1376	BLCA	HT1376_URINARY_TRACT
HT-144	SKCM	HT144_SKIN
HT-3	CESC	NA
HT55	COAD	HT55_LARGE_INTESTINE
HTC-C3	THCA	NA
HuCCT1	CHOL	HUCCT1_BILIARY_TRACT
huH-1	LIHC	HUH1_LIVER
HuH-6	LIHC	HUH6_LIVER
HUH-6-clone5	LIHC	NA
HuH-7	LIHC	HUH7_LIVER
HuP-T3	PAAD	HUPT3_PANCREAS
HuP-T4	PAAD	HUPT4_PANCREAS
IGR-1	SKCM	IGR1_SKIN
IGR-37	SKCM	IGR37_SKIN
IGR-39	SKCM	IGR39_SKIN
IGROV-1	OV	IGROV1_OVARY
IHH-4	THCA	NA
IM-95	STAD	IM95_STOMACH
IOSE-364(-)	OV	NA
IOSE-397	OV	NA
IOSE-523(-)	OV	NA
IOSE-75-16SV40	OV	NA
IPC-298	SKCM	IPC298_SKIN
Ishikawa	UCEC	NA
Ishikawa(Heraklio)02ER-	UCEC	ISHIKAWAHERAKLIO02ER_ENDOMETRIUM
IST-MEL1	SKCM	NA
IST-MES1	MESO	ISTMES1_PLEURA
J82	BLCA	J82_URINARY_TRACT
JEKO-1	DLBC	JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
JHH-1	LIHC	JHH1_LIVER
JHH-2	LIHC	JHH2_LIVER
JHH-4	LIHC	JHH4_LIVER
JHH-6	LIHC	JHH6_LIVER
JHH-7	LIHC	JHH7_LIVER
JHOS-2	OV	JHOS2_OVARY
JHOS-3	OV	NA
JHOS-4	OV	JHOS4_OVARY
JHU-011	HNSC	NA
JHU-028	LUAD	NA
JHU-029	HNSC	NA
JIMT-1	BRCA	JIMT1_BREAST
JM1	DLBC	JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
JSC-1	DLBC	NA
JVM-2	DLBC	JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
JVM-3	DLBC	JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
K052	LAML	NA
K2	SKCM	NA
K5	THCA	NA
KALS-1	GBM	KALS1_CENTRAL_NERVOUS_SYSTEM
KARPAS-1106P	DLBC	NA
KARPAS-231	DLBC	NA
KARPAS-422	DLBC	NA
KASUMI-1	LAML	KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KATOIII	STAD	KATOIII_STOMACH
KG-1	LAML	KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KG-1-C	LGG	KG1C_CENTRAL_NERVOUS_SYSTEM
KINGS-1	LGG	NA
KLE	UCEC	KLE_ENDOMETRIUM
KM12	COAD	KM12_LARGE_INTESTINE
KMH-2	THCA	KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KMOE-2	LAML	NA
KMRC-1	KIRC	KMRC1_KIDNEY
KMRC-20	KIRC	KMRC20_KIDNEY
KNS-42	GBM	KNS42_CENTRAL_NERVOUS_SYSTEM
KNS-62	LUSC	KNS62_LUNG
